area,density,crit. CV,crit. peak,TW,L,s,speed,circuity,cap,mrt,veh,veh-hrs,veh-km
4256.8,0.093732,0.55803,60,23,538,5,25,1.1665,6,2.8404,4.564348191,6.658100901,9.876976725
659.88,0.31066,0.28347,28,40,482,5,38,1.1623,10,2.5017,3.17805383,4.889295942,8.526882102
3534.3,0.11601,0.39691,59,35,488,7,32,1.4312,13,1.9326,4.605170186,6.589971324,10.05570723
395.75,0.54327,0.17286,26,23,413,3,34,1.374,5,2.4806,3.17805383,4.809660849,8.336021373
2878.9,0.14589,0.35764,58,32,564,6,20,1.2179,7,2.2767,4.624972813,6.760704336,9.75643661
198.78,1.1319,0.24155,29,27,568,7,16,1.2244,9,2.8203,3.401197382,5.278165678,8.050754401
2290.7,0.18772,0.70532,84,19,572,3,29,1.2115,12,2.2678,4.234106505,6.224142501,9.591438331
6662.2,0.035424,0.25391,29,22,486,4,24,1.251,12,2.0439,4.820281566,6.812367096,9.990420926
1769.6,0.24921,0.61377,81,44,373,6,32,1.0823,11,1.5744,4.543294782,6.157106096,9.622841999
5749.9,0.042783,0.31458,35,33,437,7,37,1.4841,8,2.1668,4.49980967,6.353413061,9.964330974
1315.6,0.3428,0.44397,71,29,485,4,36,1.4097,10,2.6185,4.094344562,5.983003856,9.566522795
4904.7,0.052195,0.87894,39,40,471,4,25,1.0159,9,2.7992,4.204692619,6.171303859,9.390179684
928.87,0.4963,0.1915,56,59,565,6,31,1.0617,8,1.8955,3.850147602,5.882597892,9.316585097
4126.7,0.064701,0.51702,29,50,449,8,26,1.3309,12,2.4923,4.59511985,6.515023754,9.773120292
609.24,0.77474,0.74161,95,57,566,2,37,1.0758,12,2.3812,3.401197382,5.229181628,8.84009954
3415.8,0.081094,0.7525,40,15,393,5,11,1.0126,9,2.0894,5.497168225,7.439794299,9.837689572
356.76,1.351,0.44375,79,28,545,6,18,1.1656,11,2.7374,4.060443011,5.99436035,8.884732108
2772,0.10353,0.65139,40,15,598,4,12,1.4497,6,2.2873,5.198497031,7.413065722,9.897972372
7467,0.06589,0.38242,74,46,474,4,31,1.0875,12,1.6161,4.86753445,6.828484773,10.26247198
2195.4,0.13574,0.29737,38,18,497,6,22,1.2519,10,2.8788,4.356708827,6.350780999,9.441823453
6499.1,0.015848,0.22017,15,38,509,7,35,1.3904,7,1.9372,3.555348061,5.533863685,9.089211746
1686,0.18268,0.72349,50,17,391,7,34,1.1864,7,2.2273,4.262679877,5.910471388,9.436831913
5598.4,0.020184,0.68572,27,41,431,6,30,1.0521,10,2.8994,3.610917913,5.460861296,8.862058677
1243.7,0.25568,0.498,42,56,553,7,26,1.32,7,1.874,3.988984047,6.00460286,9.262699398
4764.9,0.025814,0.48718,24,33,585,2,30,1.0508,9,2.1276,3.218875825,5.291242398,8.69243978
868.6,0.37877,0.18043,33,31,389,7,22,1.2077,11,1.5726,4.382026635,6.088704682,9.179747135
3998.5,0.033512,0.66672,27,46,510,3,35,1.2164,4,1.7296,3.401197382,5.302807272,8.858155333
560.62,0.60469,0.63738,52,24,383,5,20,1.4381,13,1.8017,4.356708827,6.035744556,9.031476829
3299.3,0.043646,0.19569,19,20,479,4,23,1.0219,9,2.682,3.663561646,5.613894236,8.749388452
319.8,1.0913,0.59894,50,39,523,3,39,1.1466,8,1.7762,3.135494216,4.9682148,8.631776447
2667.2,0.057739,0.30281,23,53,533,5,32,1.2461,8,2.8832,3.33220451,5.33184885,8.797584753
7294.2,0.049354,0.446,51,51,379,2,37,1.1054,10,2.7844,4.510859507,6.284320711,9.895238623
2102.3,0.078487,0.21066,23,33,527,4,40,1.2939,9,2.648,3.17805383,5.058409069,8.747288523
6338.1,0.058378,0.3461,44,30,431,4,15,1.3316,6,2.4345,5.837730447,8.008432102,10.7164823
1604.5,0.10907,0.16222,22,58,448,6,12,1.3673,11,2.6229,4.65396035,6.603211849,9.088118499
5449,0.069737,0.47471,59,49,414,6,32,1.2153,7,2.674,4.727387819,6.592331952,10.05806785
1173.8,0.1576,0.17641,24,50,535,4,11,1.3458,5,2.6452,4.234106505,6.326203139,8.724098412
4627.1,0.084502,0.54871,64,57,424,4,16,1.2091,5,2.843,5.624017506,7.608622583,10.3812113
810.35,0.24187,0.15197,24,58,494,3,40,1.4786,4,2.4987,3.044522438,4.895897617,8.584777071
3872.4,0.10355,0.39845,52,25,414,4,28,1.0711,7,2.7306,4.564348191,6.407176972,9.739381482
514.03,0.40076,0.16052,24,17,531,5,31,1.1231,8,2.0717,3.218875825,5.012766355,8.44675356
3184.8,0.12905,0.51606,55,57,412,2,11,1.3407,11,1.9849,5.902633333,8.035440815,10.43333609
284.85,0.75829,0.28204,29,41,563,7,22,1.2912,7,1.9109,3.33220451,5.231375961,8.322418414
2564.4,0.16456,0.37686,59,34,562,4,19,1.2285,11,1.9386,4.584967479,6.709450671,9.65388965
7123.5,0.031866,0.20665,29,30,421,2,14,1.3499,11,2.6885,5.379897354,7.661950521,10.30100785
2011.1,0.21481,0.44607,59,57,530,3,25,1.3786,7,1.9049,4.394449155,6.451275785,9.67015161
6179,0.038356,0.61251,32,51,586,2,24,1.2898,8,1.9194,4.317488114,6.492133769,9.670187599
1524.9,0.28985,0.38536,62,17,486,5,35,1.261,7,1.7922,4.317488114,6.092689021,9.648037083
5301.6,0.04659,0.24474,31,25,376,6,40,1.4567,8,1.6972,4.624972813,6.313837859,10.00271731
1106,0.4096,0.62213,89,48,484,6,30,1.0683,11,2.9392,4.077537444,5.921739265,9.322936646
4491.4,0.057443,0.61976,35,20,426,7,28,1.1833,10,2.6154,4.49980967,6.359002771,9.691207282
754.13,0.61395,0.48104,84,41,374,6,12,1.4374,12,2.3984,5.351858133,7.123027936,9.607934586
3748.3,0.071499,0.2404,34,60,414,7,26,1.1187,9,2.4361,4.394449155,6.249434556,9.507531094
469.45,1.0076,0.50413,76,55,409,7,19,1.3584,8,2.2613,4.454347296,6.272763793,9.217202772
3072.3,0.090485,0.55392,39,29,477,4,26,1.4435,12,1.6707,4.465908119,6.3924195,9.650516038
251.93,1.9172,0.40474,80,59,546,7,29,1.4083,5,1.6248,3.988984047,5.855702096,9.222997926
2463.6,0.11731,0.30407,36,20,510,2,20,1.0473,5,1.8328,4.204692619,6.129006636,9.12473891
