area,density,crit. CV,crit. peak,TW,L,s,speed,circuity,cap,mrt,veh,veh-hrs,veh-km
4256.8,0.093732,0.55803,60,23,538,5,25,1.1665,6,2.8404,96,779.07,19476.75
659.88,0.31066,0.28347,28,40,482,5,38,1.1623,10,2.5017,24,132.86,5048.68
3534.3,0.11601,0.39691,59,35,488,7,32,1.4312,13,1.9326,100,727.76,23288.32
395.75,0.54327,0.17286,26,23,413,3,34,1.374,5,2.4806,24,122.69,4171.46
2878.9,0.14589,0.35764,58,32,564,6,20,1.2179,7,2.2767,102,863.25,17265
198.78,1.1319,0.24155,29,27,568,7,16,1.2244,9,2.8203,30,196.01,3136.16
2290.7,0.18772,0.70532,84,19,572,3,29,1.2115,12,2.2678,69,504.79,14638.91
6662.2,0.035424,0.25391,29,22,486,4,24,1.251,12,2.0439,124,909.02,21816.48
1769.6,0.24921,0.61377,81,44,373,6,32,1.0823,11,1.5744,94,472.06,15105.92
5749.9,0.042783,0.31458,35,33,437,7,37,1.4841,8,2.1668,90,574.45,21254.65
1315.6,0.3428,0.44397,71,29,485,4,36,1.4097,10,2.6185,60,396.63,14278.68
4904.7,0.052195,0.87894,39,40,471,4,25,1.0159,9,2.7992,67,478.81,11970.25
928.87,0.4963,0.1915,56,59,565,6,31,1.0617,8,1.8955,47,358.74,11120.94
4126.7,0.064701,0.51702,29,50,449,8,26,1.3309,12,2.4923,99,675.21,17555.46
609.24,0.77474,0.74161,95,57,566,2,37,1.0758,12,2.3812,30,186.64,6905.68
3415.8,0.081094,0.7525,40,15,393,5,11,1.0126,9,2.0894,244,1702.4,18726.4
356.76,1.351,0.44375,79,28,545,6,18,1.1656,11,2.7374,58,401.16,7220.88
2772,0.10353,0.65139,40,15,598,4,12,1.4497,6,2.2873,181,1657.5,19890
7467,0.06589,0.38242,74,46,474,4,31,1.0875,12,1.6161,130,923.79,28637.49
2195.4,0.13574,0.29737,38,18,497,6,22,1.2519,10,2.8788,78,572.94,12604.68
6499.1,0.015848,0.22017,15,38,509,7,35,1.3904,7,1.9372,35,253.12,8859.2
1686,0.18268,0.72349,50,17,391,7,34,1.1864,7,2.2273,71,368.88,12541.92
5598.4,0.020184,0.68572,27,41,431,6,30,1.0521,10,2.8994,37,235.3,7059
1243.7,0.25568,0.498,42,56,553,7,26,1.32,7,1.874,54,405.29,10537.54
4764.9,0.025814,0.48718,24,33,585,2,30,1.0508,9,2.1276,25,198.59,5957.7
868.6,0.37877,0.18043,33,31,389,7,22,1.2077,11,1.5726,80,440.85,9698.7
3998.5,0.033512,0.66672,27,46,510,3,35,1.2164,4,1.7296,30,200.9,7031.5
560.62,0.60469,0.63738,52,24,383,5,20,1.4381,13,1.8017,78,418.11,8362.2
3299.3,0.043646,0.19569,19,20,479,4,23,1.0219,9,2.682,39,274.21,6306.83
319.8,1.0913,0.59894,50,39,523,3,39,1.1466,8,1.7762,23,143.77,5607.03
2667.2,0.057739,0.30281,23,53,533,5,32,1.2461,8,2.8832,28,206.82,6618.24
7294.2,0.049354,0.446,51,51,379,2,37,1.1054,10,2.7844,91,536.1,19835.7
2102.3,0.078487,0.21066,23,33,527,4,40,1.2939,9,2.648,24,157.34,6293.6
6338.1,0.058378,0.3461,44,30,431,4,15,1.3316,6,2.4345,343,3006.2,45093
1604.5,0.10907,0.16222,22,58,448,6,12,1.3673,11,2.6229,105,737.46,8849.52
5449,0.069737,0.47471,59,49,414,6,32,1.2153,7,2.674,113,729.48,23343.36
1173.8,0.1576,0.17641,24,50,535,4,11,1.3458,5,2.6452,69,559.03,6149.33
4627.1,0.084502,0.54871,64,57,424,4,16,1.2091,5,2.843,277,2015.5,32248
810.35,0.24187,0.15197,24,58,494,3,40,1.4786,4,2.4987,21,133.74,5349.6
3872.4,0.10355,0.39845,52,25,414,4,28,1.0711,7,2.7306,96,606.18,16973.04
514.03,0.40076,0.16052,24,17,531,5,31,1.1231,8,2.0717,25,150.32,4659.92
3184.8,0.12905,0.51606,55,57,412,2,11,1.3407,11,1.9849,366,3088.5,33973.5
284.85,0.75829,0.28204,29,41,563,7,22,1.2912,7,1.9109,28,187.05,4115.1
2564.4,0.16456,0.37686,59,34,562,4,19,1.2285,11,1.9386,98,820.12,15582.28
7123.5,0.031866,0.20665,29,30,421,2,14,1.3499,11,2.6885,217,2125.9,29762.6
2011.1,0.21481,0.44607,59,57,530,3,25,1.3786,7,1.9049,81,633.51,15837.75
6179,0.038356,0.61251,32,51,586,2,24,1.2898,8,1.9194,75,659.93,15838.32
1524.9,0.28985,0.38536,62,17,486,5,35,1.261,7,1.7922,75,442.61,15491.35
5301.6,0.04659,0.24474,31,25,376,6,40,1.4567,8,1.6972,102,552.16,22086.4
1106,0.4096,0.62213,89,48,484,6,30,1.0683,11,2.9392,59,373.06,11191.8
4491.4,0.057443,0.61976,35,20,426,7,28,1.1833,10,2.6154,90,577.67,16174.76
754.13,0.61395,0.48104,84,41,374,6,12,1.4374,12,2.3984,211,1240.2,14882.4
3748.3,0.071499,0.2404,34,60,414,7,26,1.1187,9,2.4361,81,517.72,13460.72
469.45,1.0076,0.50413,76,55,409,7,19,1.3584,8,2.2613,86,529.94,10068.86
3072.3,0.090485,0.55392,39,29,477,4,26,1.4435,12,1.6707,87,597.3,15529.8
251.93,1.9172,0.40474,80,59,546,7,29,1.4083,5,1.6248,54,349.22,10127.38
2463.6,0.11731,0.30407,36,20,510,2,20,1.0473,5,1.8328,67,458.98,9179.6
6954.9,0.07103,0.5814,106,55,448,5,37,1.0369,12,1.847,109,725.11,26829.07
1921.9,0.15557,0.65451,44,16,524,5,39,1.4231,11,2.2654,54,342.04,13339.56
6022,0.01727,0.62521,24,26,476,2,24,1.4569,10,2.1065,67,468.84,11252.16
1447.4,0.21348,0.63507,46,39,551,8,28,1.2693,12,2.7143,52,386.43,10820.04
5156.2,0.022109,0.28944,18,23,492,6,27,1.4779,9,1.9588,53,368.25,9942.75
1040.1,0.30766,0.77979,53,44,505,3,35,1.0338,11,2.7145,32,190.73,6675.55
4357.6,0.028685,0.21933,19,37,364,5,20,1.1242,11,1.6544,83,446.85,8937
699.93,0.47148,0.86409,61,46,551,6,38,1.4747,6,2.1259,37,250.96,9536.48
3626.2,0.037229,0.62216,28,30,381,7,22,1.0034,5,2.9025,56,321.49,7072.78
426.9,0.79644,0.52681,49,38,514,5,30,1.2407,4,2.5473,36,213.16,6394.8
2961.9,0.048955,0.32047,23,33,515,3,11,1.0287,5,2.9193,91,719.45,7913.95
221.03,1.588,0.79062,69,44,515,7,32,1.273,5,2.4455,37,209.1,6691.2
2364.8,0.065968,0.34738,24,42,410,4,21,1.2159,12,1.8825,57,331.68,6965.28
6788.2,0.053181,0.23705,40,45,580,4,18,1.2524,10,1.8054,184,1669.3,30047.4
1834.8,0.090473,0.3229,26,39,381,4,39,1.0293,10,2.521,26,137.49,5362.11
5867,0.063235,0.35028,49,46,448,5,27,1.0336,11,1.5828,111,738.62,19942.74
1372,0.12828,0.30914,24,50,598,2,26,1.3156,10,2.1865,28,210.89,5483.14
5012.9,0.076204,0.48901,52,39,507,8,29,1.2561,8,1.993,106,817.28,23701.12
976.28,0.19154,0.15411,23,29,554,4,15,1.2714,6,1.9863,46,335.83,5037.45
4225.9,0.092761,0.57451,54,55,381,3,20,1.4042,11,2.5584,274,1783.2,35664
647.75,0.30413,0.21601,26,16,481,6,11,1.0277,9,2.8897,54,363.27,3995.97
3506.1,0.11466,0.32725,58,28,374,2,36,1.3863,13,2.0533,102,560.25,20169
386.37,0.53576,0.3184,28,59,412,4,22,1.1263,6,2.3226,26,143.46,3156.12
2853.5,0.14473,0.45,64,45,461,7,25,1.4469,10,2.4233,127,888.78,22219.5
192.15,1.1345,0.11589,26,40,477,6,22,1.0508,7,1.9927,25,135.69,2985.18
2268,0.18651,0.52005,65,44,422,6,13,1.1462,5,2.6378,239,1628.6,21171.8
6623.6,0.034423,0.16234,27,56,499,6,38,1.0762,11,2.3727,46,341.2,12965.6
1749.7,0.24747,0.57202,73,31,419,2,21,1.0527,5,2.5344,80,489.97,10289.37
5714,0.041652,0.14988,27,32,583,6,13,1.0752,5,2.3574,158,1458.8,18964.4
